Course Name,Cut-off ATAR,Duration,Award Type,Field of Education,Provider,Campus,Level
Associate Degree in Inclusive Education and Disability Studies,N/A,2 years,Associate Degree,Teacher Education: Special Education,Australian Catholic University,STRATHFIELD NSW,Undergraduate
Associate Degree in Indigenous Community Health,N/A,2 years,Associate Degree,Indigenous Health,Curtin University of Technology,Bentley Campus WA,Undergraduate
Associate Degree in Indigenous Community Management and Development,N/A,2 years,Associate Degree,Indigenous,Curtin University of Technology,Bentley Campus WA,Undergraduate
Associate Degree in Indigenous Education,N/A,2 years,Associate Degree,Teacher Education n.e.c.,Australian Catholic University,STRATHFIELD NSW,Undergraduate
Associate Degree in Information & Communication Technology (72T),65.00,2 years,Associate Degree,Information Technology n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Information & Communication Technology (72T),65.00,2 years,Associate Degree,Information Technology n.e.c.,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Information Technology,N/A,2 years,Associate Degree,Computer Science,University of South Australia,Mawson Lakes SA,Undergraduate
Associate Degree in Languages and Culture Studies,75.30,1 year,Associate Degree,Language & Literature,University of South Australia,Magill SA,Undergraduate
Associate Degree in Law (Paralegal Studies),63.00,2 years,Associate Degree,Justice & Law Enforcement,Southern Cross University,Gold Coast QLD,Undergraduate
Associate Degree in Law (Paralegal Studies),63.00,2 years,Associate Degree,Justice & Law Enforcement,Southern Cross University,Lismore NSW,Undergraduate
Associate Degree in Law (Paralegal Studies),63.00,2 years,Associate Degree,Justice & Law Enforcement,Southern Cross University,Distance Education,Undergraduate
ASSOCIATE DEGREE IN LEGAL STUDIES,77.75,2 years,Associate Degree,Legal Studies,Charles Darwin University,CASUARINA NT,Undergraduate
ASSOCIATE DEGREE IN LEGAL STUDIES,77.75,2 years,Associate Degree,Legal Studies,Charles Darwin University,DISTANCE EDUCATION,Undergraduate
ASSOCIATE DEGREE IN LOGISTICS,49.85,2 years,Associate Degree,Economics,Victoria University,City Flinders VIC,Undergraduate
ASSOCIATE DEGREE IN LOGISTICS,N/A,2 years,Associate Degree,Economics,Victoria University,Footscray Nicholson VIC,Undergraduate
Associate Degree in Maritime and Logistics Management (J2B),60.00,2 years,Associate Degree,Business & Management,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Medical Laboratory Science,68.45,2 years,Associate Degree,Medical Science,University of the Sunshine Coast,Sippy Downs QLD,Undergraduate
Associate Degree in Music Studies (F2Q),N/A,2 years,Associate Degree,Music,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Policing Practice,N/A,2 years,Associate Degree,Police Studies,Charles Sturt University,Goulburn NSW,Undergraduate
Associate Degree in Policing Practice,N/A,2 years,Associate Degree,Police Studies,Charles Sturt University,Distance Education,Undergraduate
ASSOCIATE DEGREE IN PROCESS ENGINEERING,73.15,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,Charles Darwin University,CASUARINA NT,Undergraduate
ASSOCIATE DEGREE IN PROCESS ENGINEERING,73.15,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,Charles Darwin University,DISTANCE EDUCATION,Undergraduate
Associate Degree in Real Estate,N/A,1.5 years,Associate Degree,Real Estate,Bond University,Bond University QLD,Undergraduate
Associate Degree in Science,53.70,2 years,Associate Degree,Natural & Physical Sciences n.e.c.,University of the Sunshine Coast,Sippy Downs QLD,Undergraduate
Associate Degree in Science (S2G),N/A,2 years,Associate Degree,Other Natural & Physical Sciences,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Science (S2G),N/A,2 years,Associate Degree,Other Natural & Physical Sciences,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Sustainable Development,N/A,1.5 years,Associate Degree,Business & Management n.e.c.,Bond University,Bond University QLD,Undergraduate
Associate Degree in Training and Assessment,N/A,2 years,Associate Degree,Teacher Education: Vocational Education & Training,Federation University Australia,Mt Helen VIC,Undergraduate
